index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-89f7146e-9864-a874-a024-4b4c620d8f98,460.32.03,Tesla V100-SXM2-32GB,1565019013376,Disabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,32510,20580,11930,2023/07/01 10:07:15.389
0,0,32510,20580,11930,2023/07/01 10:07:45.449
0,5,32510,20580,11930,2023/07/01 10:08:15.492
0,0,32510,20580,11930,2023/07/01 10:08:45.561
0,0,32510,20580,11930,2023/07/01 10:09:15.614
0,0,32510,20580,11930,2023/07/01 10:09:45.652
0,0,32510,20580,11930,2023/07/01 10:10:15.711
0,0,32510,20580,11930,2023/07/01 10:10:45.774
0,44,32510,20580,11930,2023/07/01 10:11:15.863
0,24,32510,20580,11930,2023/07/01 10:11:45.962
0,0,32510,20580,11930,2023/07/01 10:12:16.012
0,99,32510,20580,11930,2023/07/01 10:12:46.074
0,0,32510,20580,11930,2023/07/01 10:13:16.141
0,0,32510,20580,11930,2023/07/01 10:13:46.191
0,86,32510,20580,11930,2023/07/01 10:14:16.257
0,0,32510,20580,11930,2023/07/01 10:14:46.318
0,0,32510,20580,11930,2023/07/01 10:15:16.378
0,0,32510,20580,11930,2023/07/01 10:15:46.445
0,29,32510,20580,11930,2023/07/01 10:16:16.495
0,0,32510,20580,11930,2023/07/01 10:16:46.561
0,0,32510,20580,11930,2023/07/01 10:17:16.621
0,0,32510,20580,11930,2023/07/01 10:17:46.663
0,0,32510,20580,11930,2023/07/01 10:18:16.701
0,0,32510,20580,11930,2023/07/01 10:18:46.793
0,78,32510,20580,11930,2023/07/01 10:19:16.861
0,53,32510,20580,11930,2023/07/01 10:19:46.947
0,0,32510,20580,11930,2023/07/01 10:20:17.010
0,92,32510,20580,11930,2023/07/01 10:20:47.071
0,0,32510,20580,11930,2023/07/01 10:21:17.108
0,0,32510,20580,11930,2023/07/01 10:21:47.162
0,0,32510,20580,11930,2023/07/01 10:22:17.225
0,0,32510,20580,11930,2023/07/01 10:22:47.287
0,90,32510,20580,11930,2023/07/01 10:23:17.361
0,0,32510,20580,11930,2023/07/01 10:23:47.400
0,0,32510,20580,11930,2023/07/01 10:24:17.460
0,0,32510,20580,11930,2023/07/01 10:24:47.540
0,32,32510,20580,11930,2023/07/01 10:25:17.583
0,0,32510,20580,11930,2023/07/01 10:25:47.646
0,0,32510,20580,11930,2023/07/01 10:26:17.718
0,0,32510,20580,11930,2023/07/01 10:26:47.782
0,0,32510,20580,11930,2023/07/01 10:27:17.848
0,0,32510,20580,11930,2023/07/01 10:27:47.907
0,19,32510,20580,11930,2023/07/01 10:28:17.962
0,35,32510,20580,11930,2023/07/01 10:28:48.049
0,31,32510,20580,11930,2023/07/01 10:29:18.116
0,100,32510,20580,11930,2023/07/01 10:29:48.165
0,0,32510,20580,11930,2023/07/01 10:30:18.218
0,67,32510,20580,11930,2023/07/01 10:30:48.295
0,18,32510,20580,11930,2023/07/01 10:31:18.363
0,0,32510,20580,11930,2023/07/01 10:31:48.449
0,43,32510,20580,11930,2023/07/01 10:32:18.494
0,0,32510,20580,11930,2023/07/01 10:32:48.560
0,41,32510,20580,11930,2023/07/01 10:33:18.646
0,9,32510,20580,11930,2023/07/01 10:33:48.747
0,0,32510,20580,11930,2023/07/01 10:34:18.779
0,50,32510,20580,11930,2023/07/01 10:34:48.849
0,0,32510,20580,11930,2023/07/01 10:35:18.911
0,0,32510,20580,11930,2023/07/01 10:35:48.971
0,0,32510,20580,11930,2023/07/01 10:36:19.046
0,0,32510,20580,11930,2023/07/01 10:36:49.109
0,0,32510,20580,11930,2023/07/01 10:37:19.167
0,0,32510,20580,11930,2023/07/01 10:37:49.202
0,23,32510,20580,11930,2023/07/01 10:38:19.265
0,58,32510,20580,11930,2023/07/01 10:38:49.361
0,0,32510,20580,11930,2023/07/01 10:39:19.400
0,13,32510,20580,11930,2023/07/01 10:39:49.463
0,69,32510,20580,11930,2023/07/01 10:40:19.502
0,4,32510,20580,11930,2023/07/01 10:40:49.597
0,40,32510,20580,11930,2023/07/01 10:41:19.665
0,0,32510,20580,11930,2023/07/01 10:41:49.732
0,34,32510,20580,11930,2023/07/01 10:42:19.766
0,0,32510,20580,11930,2023/07/01 10:42:49.838
0,9,32510,20580,11930,2023/07/01 10:43:19.903
0,21,32510,20580,11930,2023/07/01 10:43:49.963
0,0,32510,20580,11930,2023/07/01 10:44:20.021
0,0,32510,20580,11930,2023/07/01 10:44:50.074
0,83,32510,20580,11930,2023/07/01 10:45:20.161
0,0,32510,20580,11930,2023/07/01 10:45:50.245
0,0,32510,20580,11930,2023/07/01 10:46:20.302
0,0,32510,20580,11930,2023/07/01 10:46:50.364
0,0,32510,20580,11930,2023/07/01 10:47:20.403
0,0,32510,20580,11930,2023/07/01 10:47:50.454
0,0,32510,20580,11930,2023/07/01 10:48:20.516
0,0,32510,20580,11930,2023/07/01 10:48:50.571
0,0,32510,20580,11930,2023/07/01 10:49:20.647
0,0,32510,20580,11930,2023/07/01 10:49:50.709
0,0,32510,20580,11930,2023/07/01 10:50:20.772
0,0,32510,20580,11930,2023/07/01 10:50:50.859
0,0,32510,20580,11930,2023/07/01 10:51:20.938
0,39,32510,20580,11930,2023/07/01 10:51:50.974
0,0,32510,20580,11930,2023/07/01 10:52:21.046
0,0,32510,20580,11930,2023/07/01 10:52:51.106
